Unnamed: 0,filename,gender
5,cv-valid-train/sample-000005.mp3,female
8,cv-valid-train/sample-000008.mp3,male
13,cv-valid-train/sample-000013.mp3,female
14,cv-valid-train/sample-000014.mp3,male
19,cv-valid-train/sample-000019.mp3,male
20,cv-valid-train/sample-000020.mp3,male
23,cv-valid-train/sample-000023.mp3,male
26,cv-valid-train/sample-000026.mp3,female
27,cv-valid-train/sample-000027.mp3,male
29,cv-valid-train/sample-000029.mp3,male
34,cv-valid-train/sample-000034.mp3,female
36,cv-valid-train/sample-000036.mp3,male
39,cv-valid-train/sample-000039.mp3,female
43,cv-valid-train/sample-000043.mp3,male
44,cv-valid-train/sample-000044.mp3,male
47,cv-valid-train/sample-000047.mp3,male
49,cv-valid-train/sample-000049.mp3,male
50,cv-valid-train/sample-000050.mp3,male
51,cv-valid-train/sample-000051.mp3,female
53,cv-valid-train/sample-000053.mp3,male
54,cv-valid-train/sample-000054.mp3,male
56,cv-valid-train/sample-000056.mp3,male
57,cv-valid-train/sample-000057.mp3,female
59,cv-valid-train/sample-000059.mp3,female
62,cv-valid-train/sample-000062.mp3,male
65,cv-valid-train/sample-000065.mp3,male
68,cv-valid-train/sample-000068.mp3,male
72,cv-valid-train/sample-000072.mp3,male
73,cv-valid-train/sample-000073.mp3,male
77,cv-valid-train/sample-000077.mp3,female
81,cv-valid-train/sample-000081.mp3,male
82,cv-valid-train/sample-000082.mp3,male
88,cv-valid-train/sample-000088.mp3,female
92,cv-valid-train/sample-000092.mp3,male
97,cv-valid-train/sample-000097.mp3,male
100,cv-valid-train/sample-000100.mp3,male
101,cv-valid-train/sample-000101.mp3,female
105,cv-valid-train/sample-000105.mp3,male
106,cv-valid-train/sample-000106.mp3,female
111,cv-valid-train/sample-000111.mp3,male
115,cv-valid-train/sample-000115.mp3,male
116,cv-valid-train/sample-000116.mp3,male
118,cv-valid-train/sample-000118.mp3,male
121,cv-valid-train/sample-000121.mp3,male
124,cv-valid-train/sample-000124.mp3,female
128,cv-valid-train/sample-000128.mp3,female
132,cv-valid-train/sample-000132.mp3,male
133,cv-valid-train/sample-000133.mp3,female
135,cv-valid-train/sample-000135.mp3,male
137,cv-valid-train/sample-000137.mp3,male
140,cv-valid-train/sample-000140.mp3,male
146,cv-valid-train/sample-000146.mp3,male
